model,stimulus_number,trial,utterance,acceptability_rating
openai/gpt-4.1-2025-04-14,79,1,He was called naco todo el tiempo.,5.0
openai/gpt-4.1-2025-04-14,79,2,He was called naco todo el tiempo.,5.0
openai/gpt-4.1-2025-04-14,79,3,He was called naco todo el tiempo.,5.0
openai/gpt-4.1-2025-04-14,80,1,He was called estúpido todo el tiempo.,4.0
openai/gpt-4.1-2025-04-14,80,2,He was called estúpido todo el tiempo.,5.0
openai/gpt-4.1-2025-04-14,80,3,He was called estúpido todo el tiempo.,5.0
openai/gpt-4.1-2025-04-14,81,1,Le llamaba boneheaded all the time.,4.0
openai/gpt-4.1-2025-04-14,81,2,Le llamaba boneheaded all the time.,4.0
openai/gpt-4.1-2025-04-14,81,3,Le llamaba boneheaded all the time.,5.0
openai/gpt-4.1-2025-04-14,82,1,Le llamaba stupid all the time.,5.0
openai/gpt-4.1-2025-04-14,82,2,Le llamaba stupid all the time.,4.0
openai/gpt-4.1-2025-04-14,82,3,Le llamaba stupid all the time.,4.0
openai/gpt-4.1-2025-04-14,83,1,He was called chicano porque era mexicano.,6.0
openai/gpt-4.1-2025-04-14,83,2,He was called chicano porque era mexicano.,6.0
openai/gpt-4.1-2025-04-14,83,3,He was called chicano porque era mexicano.,5.0
openai/gpt-4.1-2025-04-14,84,1,He was called nativo porque era mexicano.,6.0
openai/gpt-4.1-2025-04-14,84,2,He was called nativo porque era mexicano.,5.0
openai/gpt-4.1-2025-04-14,84,3,He was called nativo porque era mexicano.,6.0
openai/gpt-4.1-2025-04-14,85,1,Le llamaba snooty because he was from the US.,4.0
openai/gpt-4.1-2025-04-14,85,2,Le llamaba snooty because he was from the US.,4.0
openai/gpt-4.1-2025-04-14,85,3,Le llamaba snooty because he was from the US.,4.0
openai/gpt-4.1-2025-04-14,86,1,Le llamaba native because he was from the US.,3.0
openai/gpt-4.1-2025-04-14,86,2,Le llamaba native because he was from the US.,3.0
openai/gpt-4.1-2025-04-14,86,3,Le llamaba native because he was from the US.,4.0
openai/gpt-4.1-2025-04-14,87,1,My mom bought nopales para la fiesta.,7.0
openai/gpt-4.1-2025-04-14,87,2,My mom bought nopales para la fiesta.,6.0
openai/gpt-4.1-2025-04-14,87,3,My mom bought nopales para la fiesta.,6.0
openai/gpt-4.1-2025-04-14,88,1,My mom bought fruta para la fiesta.,5.0
openai/gpt-4.1-2025-04-14,88,2,My mom bought fruta para la fiesta.,6.0
openai/gpt-4.1-2025-04-14,88,3,My mom bought fruta para la fiesta.,5.0
openai/gpt-4.1-2025-04-14,89,1,Mi mamá compró crackers for the party.,5.0
openai/gpt-4.1-2025-04-14,89,2,Mi mamá compró crackers for the party.,5.0
openai/gpt-4.1-2025-04-14,89,3,Mi mamá compró crackers for the party.,5.0
openai/gpt-4.1-2025-04-14,90,1,Mi mamá compró fruit for the party.,3.0
openai/gpt-4.1-2025-04-14,90,2,Mi mamá compró fruit for the party.,3.0
openai/gpt-4.1-2025-04-14,90,3,Mi mamá compró fruit for the party.,4.0
openai/gpt-4.1-2025-04-14,91,1,I have been craving champurrado desde la mañana.,6.0
openai/gpt-4.1-2025-04-14,91,2,I have been craving champurrado desde la mañana.,6.0
openai/gpt-4.1-2025-04-14,91,3,I have been craving champurrado desde la mañana.,5.0
openai/gpt-4.1-2025-04-14,92,1,I have been craving café desde la mañana.,4.0
openai/gpt-4.1-2025-04-14,92,2,I have been craving café desde la mañana.,4.0
openai/gpt-4.1-2025-04-14,92,3,I have been craving café desde la mañana.,4.0
openai/gpt-4.1-2025-04-14,93,1,He tenido antojo de seltzer since this morning.,4.0
openai/gpt-4.1-2025-04-14,93,2,He tenido antojo de seltzer since this morning.,4.0
openai/gpt-4.1-2025-04-14,93,3,He tenido antojo de seltzer since this morning.,4.0
openai/gpt-4.1-2025-04-14,94,1,He tenido antojo de coffee since this morning.,4.0
openai/gpt-4.1-2025-04-14,94,2,He tenido antojo de coffee since this morning.,3.0
openai/gpt-4.1-2025-04-14,94,3,He tenido antojo de coffee since this morning.,3.0
openai/gpt-4.1-2025-04-14,95,1,My grandma made me atole para el desayuno.,7.0
openai/gpt-4.1-2025-04-14,95,2,My grandma made me atole para el desayuno.,7.0
openai/gpt-4.1-2025-04-14,95,3,My grandma made me atole para el desayuno.,7.0
openai/gpt-4.1-2025-04-14,96,1,My grandma made me panqueques para el desayuno.,6.0
openai/gpt-4.1-2025-04-14,96,2,My grandma made me panqueques para el desayuno.,5.0
openai/gpt-4.1-2025-04-14,96,3,My grandma made me panqueques para el desayuno.,5.0
openai/gpt-4.1-2025-04-14,97,1,Mi abuela me hizo biscuits for breakfast.,4.0
openai/gpt-4.1-2025-04-14,97,2,Mi abuela me hizo biscuits for breakfast.,4.0
openai/gpt-4.1-2025-04-14,97,3,Mi abuela me hizo biscuits for breakfast.,4.0
openai/gpt-4.1-2025-04-14,98,1,Mi abuela me hizo pancakes for breakfast.,5.0
openai/gpt-4.1-2025-04-14,98,2,Mi abuela me hizo pancakes for breakfast.,5.0
openai/gpt-4.1-2025-04-14,98,3,Mi abuela me hizo pancakes for breakfast.,5.0
openai/gpt-4.1-2025-04-14,99,1,He is going to serve us pozole para la cena mañana.,7.0
openai/gpt-4.1-2025-04-14,99,2,He is going to serve us pozole para la cena mañana.,6.0
openai/gpt-4.1-2025-04-14,99,3,He is going to serve us pozole para la cena mañana.,5.0
openai/gpt-4.1-2025-04-14,100,1,He is going to serve us sopa para la cena mañana.,4.0
openai/gpt-4.1-2025-04-14,100,2,He is going to serve us sopa para la cena mañana.,5.0
openai/gpt-4.1-2025-04-14,100,3,He is going to serve us sopa para la cena mañana.,5.0
openai/gpt-4.1-2025-04-14,101,1,Nos va a servir clam chowder for dinner tomorrow.,5.0
openai/gpt-4.1-2025-04-14,101,2,Nos va a servir clam chowder for dinner tomorrow.,5.0
openai/gpt-4.1-2025-04-14,101,3,Nos va a servir clam chowder for dinner tomorrow.,5.0
openai/gpt-4.1-2025-04-14,102,1,Nos va a servir soup for dinner tomorrow.,3.0
openai/gpt-4.1-2025-04-14,102,2,Nos va a servir soup for dinner tomorrow.,2.0
openai/gpt-4.1-2025-04-14,102,3,Nos va a servir soup for dinner tomorrow.,3.0
openai/gpt-4.1-2025-04-14,103,1,Qué hombre está bailando Araceli con?,2.0
openai/gpt-4.1-2025-04-14,103,2,Qué hombre está bailando Araceli con?,2.0
openai/gpt-4.1-2025-04-14,103,3,Qué hombre está bailando Araceli con?,2.0
openai/gpt-4.1-2025-04-14,104,1,Qué curso se está cansando Candela de?,3.0
openai/gpt-4.1-2025-04-14,104,2,Qué curso se está cansando Candela de?,3.0
openai/gpt-4.1-2025-04-14,104,3,Qué curso se está cansando Candela de?,3.0
openai/gpt-4.1-2025-04-14,105,1,Qué libro está haciendo referencia Diego a?,2.0
openai/gpt-4.1-2025-04-14,105,2,Qué libro está haciendo referencia Diego a?,2.0
openai/gpt-4.1-2025-04-14,105,3,Qué libro está haciendo referencia Diego a?,2.0
openai/gpt-4.1-2025-04-14,106,1,Elisa no sabe qué amigo Fernando está trabajando con.,3.0
openai/gpt-4.1-2025-04-14,106,2,Elisa no sabe qué amigo Fernando está trabajando con.,5.0
openai/gpt-4.1-2025-04-14,106,3,Elisa no sabe qué amigo Fernando está trabajando con.,3.0
openai/gpt-4.1-2025-04-14,107,1,Julieta no sabe qué avión Leonel está saltando de.,5.0
openai/gpt-4.1-2025-04-14,107,2,Julieta no sabe qué avión Leonel está saltando de.,5.0
openai/gpt-4.1-2025-04-14,107,3,Julieta no sabe qué avión Leonel está saltando de.,3.0
openai/gpt-4.1-2025-04-14,108,1,Matías no sabe qué país Natalia está viajando a.,5.0
openai/gpt-4.1-2025-04-14,108,2,Matías no sabe qué país Natalia está viajando a.,4.0
openai/gpt-4.1-2025-04-14,108,3,Matías no sabe qué país Natalia está viajando a.,5.0
openai/gpt-4.1-2025-04-14,109,1,United es la compañía que Roberta está volando con.,3.0
openai/gpt-4.1-2025-04-14,109,2,United es la compañía que Roberta está volando con.,3.0
openai/gpt-4.1-2025-04-14,109,3,United es la compañía que Roberta está volando con.,3.0
openai/gpt-4.1-2025-04-14,110,1,Ese Lamborghini es el coche que Teresa está saliendo de.,3.0
openai/gpt-4.1-2025-04-14,110,2,Ese Lamborghini es el coche que Teresa está saliendo de.,3.0
openai/gpt-4.1-2025-04-14,110,3,Ese Lamborghini es el coche que Teresa está saliendo de.,2.0
openai/gpt-4.1-2025-04-14,111,1,Villa del Carbón es el pueblo que Víctor se está mudando a.,3.0
openai/gpt-4.1-2025-04-14,111,2,Villa del Carbón es el pueblo que Víctor se está mudando a.,4.0
openai/gpt-4.1-2025-04-14,111,3,Villa del Carbón es el pueblo que Víctor se está mudando a.,3.0
openai/gpt-4.1-2025-04-14,112,1,Con qué hombre está bailando Araceli?,6.0
openai/gpt-4.1-2025-04-14,112,2,Con qué hombre está bailando Araceli?,7.0
openai/gpt-4.1-2025-04-14,112,3,Con qué hombre está bailando Araceli?,7.0
openai/gpt-4.1-2025-04-14,113,1,De qué curso se está cansando Candela?,7.0
openai/gpt-4.1-2025-04-14,113,2,De qué curso se está cansando Candela?,6.0
openai/gpt-4.1-2025-04-14,113,3,De qué curso se está cansando Candela?,6.0
openai/gpt-4.1-2025-04-14,114,1,A qué libro está haciendo referencia Diego?,7.0
openai/gpt-4.1-2025-04-14,114,2,A qué libro está haciendo referencia Diego?,6.0
openai/gpt-4.1-2025-04-14,114,3,A qué libro está haciendo referencia Diego?,5.0
openai/gpt-4.1-2025-04-14,115,1,Elisa no sabe con qué amigo Fernando está trabajando.,7.0
openai/gpt-4.1-2025-04-14,115,2,Elisa no sabe con qué amigo Fernando está trabajando.,7.0
openai/gpt-4.1-2025-04-14,115,3,Elisa no sabe con qué amigo Fernando está trabajando.,7.0
openai/gpt-4.1-2025-04-14,116,1,Julieta no sabe de qué avión Leonel está saltando.,4.0
openai/gpt-4.1-2025-04-14,116,2,Julieta no sabe de qué avión Leonel está saltando.,5.0
openai/gpt-4.1-2025-04-14,116,3,Julieta no sabe de qué avión Leonel está saltando.,6.0
openai/gpt-4.1-2025-04-14,117,1,Matías no sabe a qué país Natalia está viajando.,7.0
openai/gpt-4.1-2025-04-14,117,2,Matías no sabe a qué país Natalia está viajando.,7.0
openai/gpt-4.1-2025-04-14,117,3,Matías no sabe a qué país Natalia está viajando.,7.0
openai/gpt-4.1-2025-04-14,118,1,United es la compañía con la que Roberta está volando.,7.0
openai/gpt-4.1-2025-04-14,118,2,United es la compañía con la que Roberta está volando.,7.0
openai/gpt-4.1-2025-04-14,118,3,United es la compañía con la que Roberta está volando.,7.0
openai/gpt-4.1-2025-04-14,119,1,Ese Lamborghini es el coche del que Teresa está saliendo.,2.0
openai/gpt-4.1-2025-04-14,119,2,Ese Lamborghini es el coche del que Teresa está saliendo.,2.0
openai/gpt-4.1-2025-04-14,119,3,Ese Lamborghini es el coche del que Teresa está saliendo.,2.0
openai/gpt-4.1-2025-04-14,120,1,Villa del Carbón es el pueblo al que Víctor se está mudando.,7.0
openai/gpt-4.1-2025-04-14,120,2,Villa del Carbón es el pueblo al que Víctor se está mudando.,7.0
openai/gpt-4.1-2025-04-14,120,3,Villa del Carbón es el pueblo al que Víctor se está mudando.,7.0
openai/gpt-4.1-2025-04-14,121,1,Yo fui a la fiesta con mi amigo.,7.0
openai/gpt-4.1-2025-04-14,121,2,Yo fui a la fiesta con mi amigo.,7.0
openai/gpt-4.1-2025-04-14,121,3,Yo fui a la fiesta con mi amigo.,7.0
openai/gpt-4.1-2025-04-14,122,1,La mujer abrió la puerta con sus llaves.,7.0
openai/gpt-4.1-2025-04-14,122,2,La mujer abrió la puerta con sus llaves.,7.0
openai/gpt-4.1-2025-04-14,122,3,La mujer abrió la puerta con sus llaves.,7.0
openai/gpt-4.1-2025-04-14,123,1,Pedro salío a comer para su cumple.,6.0
openai/gpt-4.1-2025-04-14,123,2,Pedro salío a comer para su cumple.,5.0
openai/gpt-4.1-2025-04-14,123,3,Pedro salío a comer para su cumple.,5.0
openai/gpt-4.1-2025-04-14,124,1,Pedro llegó tarde porque hubo tráfico.,7.0
openai/gpt-4.1-2025-04-14,124,2,Pedro llegó tarde porque hubo tráfico.,7.0
openai/gpt-4.1-2025-04-14,124,3,Pedro llegó tarde porque hubo tráfico.,7.0
openai/gpt-4.1-2025-04-14,125,1,José salió temprano porque se fue al trabajo.,5.0
openai/gpt-4.1-2025-04-14,125,2,José salió temprano porque se fue al trabajo.,6.0
openai/gpt-4.1-2025-04-14,125,3,José salió temprano porque se fue al trabajo.,5.0
openai/gpt-4.1-2025-04-14,126,1,Miguel se cortó el pelo porque estaba muy largo.,7.0
openai/gpt-4.1-2025-04-14,126,2,Miguel se cortó el pelo porque estaba muy largo.,7.0
openai/gpt-4.1-2025-04-14,126,3,Miguel se cortó el pelo porque estaba muy largo.,7.0
openai/gpt-4.1-2025-04-14,127,1,Yo fui a la playa todo el verano.,5.0
openai/gpt-4.1-2025-04-14,127,2,Yo fui a la playa todo el verano.,6.0
openai/gpt-4.1-2025-04-14,127,3,Yo fui a la playa todo el verano.,5.0
openai/gpt-4.1-2025-04-14,128,1,Yo me levanto temprano todos los días de la semana.,7.0
openai/gpt-4.1-2025-04-14,128,2,Yo me levanto temprano todos los días de la semana.,7.0
openai/gpt-4.1-2025-04-14,128,3,Yo me levanto temprano todos los días de la semana.,7.0
openai/gpt-4.1-2025-04-14,129,1,Ella sale a bailar cada fin de semana.,7.0
openai/gpt-4.1-2025-04-14,129,2,Ella sale a bailar cada fin de semana.,7.0
openai/gpt-4.1-2025-04-14,129,3,Ella sale a bailar cada fin de semana.,7.0
openai/gpt-4.1-2025-04-14,130,1,Le llamaba naco todo el tiempo.,5.0
