stimulus_number,text
1,Su hermano has trained at the gym every day.
2,Los estudiantes have paid attention to the professor today.
3,Hace un minuto yo pedí a beer at the bar.
4,El otro día tú compraste some apples at the market.
5,La biblioteca no abre on Sunday mornings.
6,Los estudiantes de física no van to the lab on the weekend.
7,Su hermano ha trained at the gym every day.
8,Los estudiantes han paid attention to the professor today.
9,Hace un minuto yo ordered a beer at the bar.
10,El otro día tú bought some apples at the market.
11,La biblioteca no open on Sunday mornings.
12,Los estudiantes de física no go to the lab on the weekend.
13,His brother ha entrenado en el gimnasio todos los días.
14,The students han prestado atención a la profesora hoy.
15,A minute ago I ordered una cerveza en el bar.
16,The other day you bought unas manzanas en el mercado.
17,The library doesn't open los domingos por la mañana.
18,The physics students don't go al laboratorio los fines de semana.
19,His brother has entrenado en el gimnasio todos los días.
20,The students have prestado atención a la profesora hoy.
21,A minute ago I pedí una cerveza en el bar.
22,The other day you compraste unas manzanas en el mercado.
23,The library doesn't abre los domingos por la mañana.
24,The physics students don't van al laboratorio los fines de semana.
25,What guy está bailando Araceli con?
26,What class se está cansando Candela de?
27,What book está haciendo referencia Diego a?
28,Emily doesn't know what friend Fernando está trabajando con.
29,Jessica doesn't know what plane Leonel está saltando de.
30,Mason doesn't know what country Natalia está viajando a.
31,United is the company Roberta está volando con.
32,That Lamborghini is the car Teresa está saliendo de.
33,Warrenville is the town Víctor se está mudando a.
34,With what guy está bailando Araceli?
35,Of what class se está cansando Candela?
36,To what book está haciendo referencia Diego?
37,Emily doesn't know with what friend Fernando está trabajando.
38,Jessica doesn't know of what plane Leonel está saltando.
39,Mason doesn't know to what country Natalia está viajando.
40,United is the company with which Roberta está volando.
41,That Lamborghini is the car of which Teresa está saliendo.
42,Warrenville is the town to which Víctor se está mudando.
43,Qué hombre is Ashley dancing with?
44,Qué curso is Charlotte getting tired of?
45,Qué libro is Dylan referring to?
46,Elisa no sabe qué amigo Frank is working with.
47,Julieta no sabe qué avión Lance is jumping out of.
48,Matías no sabe qué país Nancy is traveling to.
49,United es la compañía que Ruby is flying with.
50,Ese Lamborghini es el coche que Tiffany is getting out of.
51,Villa del Carbón es el pueblo que Vern is moving to.
52,Con qué hombre is Ashley dancing?
53,De qué curso is Charlotte getting tired?
54,A qué libro is Dylan referring?
55,Elisa no sabe con qué amigo Frank is working.
56,Julieta no sabe de qué avión Lance is jumping out.
57,Matías no sabe a qué país Nancy is traveling.
58,United es la compañía con la que Ruby is flying.
59,Ese Lamborghini es el coche del que Tiffany is getting out.
60,Villa del Carbón es el pueblo al que Vern is moving.
61,Yo fui a la fiesta with my friend.
62,I went to the party con mi amigo.
63,La mujer abrió la puerta with her keys.
64,The woman opened the door con sus llaves.
65,Pedro salío a comer for his birthday.
66,Peter went out to eat para su cumple.
67,Pedro llegó tarde because of traffic.
68,Peter arrived late porque hubo tráfico.
69,José salió temprano because he went to work.
70,Joey left early porque se fue al trabajo.
71,Miguel se cortó el pelo because it was too long.
72,Michael cut his hair porque estaba muy largo.
73,Yo fui a la playa all summer long.
74,I went to the beach todo el verano.
75,Yo me levanto temprano every day of the week.
76,I get up early todos los días de la semana.
77,Ella sale a bailar every weekend.
78,She goes out dancing cada fin de semana.
79,He was called naco todo el tiempo.
80,He was called estúpido todo el tiempo.
81,Le llamaba boneheaded all the time.
82,Le llamaba stupid all the time.
83,He was called chicano porque era mexicano.
84,He was called nativo porque era mexicano.
85,Le llamaba snooty because he was from the US.
86,Le llamaba native because he was from the US.
87,My mom bought nopales para la fiesta.
88,My mom bought fruta para la fiesta.
89,Mi mamá compró crackers for the party.
90,Mi mamá compró fruit for the party.
91,I have been craving champurrado desde la mañana.
92,I have been craving café desde la mañana.
93,He tenido antojo de seltzer since this morning.
94,He tenido antojo de coffee since this morning.
95,My grandma made me atole para el desayuno.
96,My grandma made me panqueques para el desayuno.
97,Mi abuela me hizo biscuits for breakfast.
98,Mi abuela me hizo pancakes for breakfast.
99,He is going to serve us pozole para la cena mañana.
100,He is going to serve us sopa para la cena mañana.
101,Nos va a servir clam chowder for dinner tomorrow.
102,Nos va a servir soup for dinner tomorrow.
103,Qué hombre está bailando Araceli con?
104,Qué curso se está cansando Candela de?
105,Qué libro está haciendo referencia Diego a?
106,Elisa no sabe qué amigo Fernando está trabajando con.
107,Julieta no sabe qué avión Leonel está saltando de.
108,Matías no sabe qué país Natalia está viajando a.
109,United es la compañía que Roberta está volando con.
110,Ese Lamborghini es el coche que Teresa está saliendo de.
111,Villa del Carbón es el pueblo que Víctor se está mudando a.
112,Con qué hombre está bailando Araceli?
113,De qué curso se está cansando Candela?
114,A qué libro está haciendo referencia Diego?
115,Elisa no sabe con qué amigo Fernando está trabajando.
116,Julieta no sabe de qué avión Leonel está saltando.
117,Matías no sabe a qué país Natalia está viajando.
118,United es la compañía con la que Roberta está volando.
119,Ese Lamborghini es el coche del que Teresa está saliendo.
120,Villa del Carbón es el pueblo al que Víctor se está mudando.
121,Yo fui a la fiesta con mi amigo.
122,La mujer abrió la puerta con sus llaves.
123,Pedro salío a comer para su cumple.
124,Pedro llegó tarde porque hubo tráfico.
